DATE,INTERPOLATED,MA7_NUM_CRITICAL,MA7_NUM_CRITICAL_per_100kpop,MA7_NUM_DAILY_CRITICAL,MA7_NUM_DAILY_CRITICAL_per_100kpop,NUM_CRITICAL,NUM_CRITICAL_per_100kpop,NUM_DAILY_CRITICAL,NUM_DAILY_CRITICAL_per_100kpop,PROVINCE_NAME,PROVINCE_NAME_PSGC,REGION_NAME
2020-05-21,0,2.8571428571428568,0.15318975473703703,0.0,0.0,3.0,0.16084924247388888,0.0,0.0,City of Manila,PH133900000,NCR
2020-05-22,0,2.8571428571428568,0.15318975473703703,0.0,0.0,3.0,0.16084924247388888,0.0,0.0,City of Manila,PH133900000,NCR
2020-05-23,0,2.8571428571428568,0.15318975473703703,0.0,0.0,3.0,0.16084924247388888,0.0,0.0,City of Manila,PH133900000,NCR
2020-05-24,0,2.714285714285714,0.14553026700018518,-0.14285714285714285,-0.007659487736851852,2.0,0.10723282831592593,-1.0,-0.05361641415796296,City of Manila,PH133900000,NCR
2020-05-25,0,2.714285714285714,0.14553026700018518,0.0,0.0,2.0,0.10723282831592593,0.0,0.0,City of Manila,PH133900000,NCR
2020-05-26,0,2.571428571428571,0.13787077926333333,-0.14285714285714285,-0.007659487736851852,2.0,0.10723282831592593,0.0,0.0,City of Manila,PH133900000,NCR
2020-05-27,0,2.4285714285714284,0.13021129152648145,-0.14285714285714285,-0.007659487736851852,2.0,0.10723282831592593,0.0,0.0,City of Manila,PH133900000,NCR
2020-05-28,0,2.4285714285714284,0.13021129152648145,0.0,0.0,3.0,0.16084924247388888,1.0,0.05361641415796296,City of Manila,PH133900000,NCR
2020-05-29,0,2.2857142857142856,0.12255180378962963,-0.14285714285714285,-0.007659487736851852,2.0,0.10723282831592593,-1.0,-0.05361641415796296,City of Manila,PH133900000,NCR
2020-05-30,0,2.142857142857143,0.11489231605277778,-0.14285714285714285,-0.007659487736851852,2.0,0.10723282831592593,0.0,0.0,City of Manila,PH133900000,NCR
2020-05-31,1,2.142857142857143,0.11489231605277778,0.0,0.0,2.0,0.10723282831592593,0.0,0.0,City of Manila,PH133900000,NCR
2020-06-01,1,2.142857142857143,0.11489231605277778,0.0,0.0,2.0,0.10723282831592593,0.0,0.0,City of Manila,PH133900000,NCR
2020-06-02,1,2.142857142857143,0.11489231605277778,0.0,0.0,2.0,0.10723282831592593,0.0,0.0,City of Manila,PH133900000,NCR
2020-06-03,1,2.142857142857143,0.11489231605277778,0.0,0.0,2.0,0.10723282831592593,0.0,0.0,City of Manila,PH133900000,NCR
2020-06-04,0,2.142857142857143,0.11489231605277778,0.0,0.0,3.0,0.16084924247388888,1.0,0.05361641415796296,City of Manila,PH133900000,NCR
2020-06-05,0,2.2857142857142856,0.12255180378962963,0.14285714285714285,0.007659487736851852,3.0,0.16084924247388888,0.0,0.0,City of Manila,PH133900000,NCR
2020-06-06,0,2.4285714285714284,0.13021129152648145,0.14285714285714285,0.007659487736851852,3.0,0.16084924247388888,0.0,0.0,City of Manila,PH133900000,NCR
2020-06-07,0,2.571428571428571,0.13787077926333333,0.14285714285714285,0.007659487736851852,3.0,0.16084924247388888,0.0,0.0,City of Manila,PH133900000,NCR
2020-06-08,0,2.714285714285714,0.14553026700018518,0.14285714285714285,0.007659487736851852,3.0,0.16084924247388888,0.0,0.0,City of Manila,PH133900000,NCR
2020-06-09,0,3.0,0.16084924247388888,0.2857142857142857,0.015318975473703703,4.0,0.21446565663185185,1.0,0.05361641415796296,City of Manila,PH133900000,NCR
2020-06-10,0,3.0,0.16084924247388888,0.0,0.0,2.0,0.10723282831592593,-2.0,-0.10723282831592593,City of Manila,PH133900000,NCR
2020-06-11,0,2.8571428571428568,0.15318975473703703,-0.14285714285714285,-0.007659487736851852,2.0,0.10723282831592593,0.0,0.0,City of Manila,PH133900000,NCR
2020-06-12,0,2.714285714285714,0.14553026700018518,-0.14285714285714285,-0.007659487736851852,2.0,0.10723282831592593,0.0,0.0,City of Manila,PH133900000,NCR
2020-06-13,0,2.571428571428571,0.13787077926333333,-0.14285714285714285,-0.007659487736851852,2.0,0.10723282831592593,0.0,0.0,City of Manila,PH133900000,NCR
2020-06-14,0,2.4285714285714284,0.13021129152648145,-0.14285714285714285,-0.007659487736851852,2.0,0.10723282831592593,0.0,0.0,City of Manila,PH133900000,NCR
2020-06-15,0,2.2857142857142856,0.12255180378962963,-0.14285714285714285,-0.007659487736851852,2.0,0.10723282831592593,0.0,0.0,City of Manila,PH133900000,NCR
2020-06-16,0,2.0,0.10723282831592593,-0.2857142857142857,-0.015318975473703703,2.0,0.10723282831592593,0.0,0.0,City of Manila,PH133900000,NCR
2020-06-17,0,2.0,0.10723282831592593,0.0,0.0,2.0,0.10723282831592593,0.0,0.0,City of Manila,PH133900000,NCR
2020-06-18,0,2.0,0.10723282831592593,0.0,0.0,2.0,0.10723282831592593,0.0,0.0,City of Manila,PH133900000,NCR
2020-06-19,0,2.0,0.10723282831592593,0.0,0.0,2.0,0.10723282831592593,0.0,0.0,City of Manila,PH133900000,NCR
2020-06-20,0,1.857142857142857,0.09957334057907406,-0.14285714285714285,-0.007659487736851852,1.0,0.05361641415796296,-1.0,-0.05361641415796296,City of Manila,PH133900000,NCR
2020-06-21,0,1.7142857142857142,0.09191385284222223,-0.14285714285714285,-0.007659487736851852,1.0,0.05361641415796296,0.0,0.0,City of Manila,PH133900000,NCR
2020-06-22,0,1.5714285714285714,0.08425436510537038,-0.14285714285714285,-0.007659487736851852,1.0,0.05361641415796296,0.0,0.0,City of Manila,PH133900000,NCR
2020-06-23,0,1.857142857142857,0.09957334057907406,0.2857142857142857,0.015318975473703703,4.0,0.21446565663185185,3.0,0.16084924247388888,City of Manila,PH133900000,NCR
2020-06-24,0,2.2857142857142856,0.12255180378962963,0.42857142857142855,0.022978463210555557,5.0,0.26808207078981483,1.0,0.05361641415796296,City of Manila,PH133900000,NCR
2020-06-25,0,2.714285714285714,0.14553026700018518,0.42857142857142855,0.022978463210555557,5.0,0.26808207078981483,0.0,0.0,City of Manila,PH133900000,NCR
2020-06-26,0,3.142857142857143,0.16850873021074075,0.42857142857142855,0.022978463210555557,5.0,0.26808207078981483,0.0,0.0,City of Manila,PH133900000,NCR
2020-06-27,0,3.714285714285714,0.19914668115814813,0.5714285714285714,0.030637950947407407,5.0,0.26808207078981483,0.0,0.0,City of Manila,PH133900000,NCR
2020-06-28,0,4.285714285714286,0.22978463210555555,0.5714285714285714,0.030637950947407407,5.0,0.26808207078981483,0.0,0.0,City of Manila,PH133900000,NCR
2020-06-29,0,4.857142857142857,0.2604225830529629,0.5714285714285714,0.030637950947407407,5.0,0.26808207078981483,0.0,0.0,City of Manila,PH133900000,NCR
2020-06-30,0,5.0,0.26808207078981483,0.14285714285714285,0.007659487736851852,5.0,0.26808207078981483,0.0,0.0,City of Manila,PH133900000,NCR
2020-07-01,1,5.0,0.26808207078981483,0.0,0.0,5.0,0.26808207078981483,0.0,0.0,City of Manila,PH133900000,NCR
2020-07-02,1,5.0,0.26808207078981483,0.0,0.0,5.0,0.26808207078981483,0.0,0.0,City of Manila,PH133900000,NCR
2020-07-03,0,5.0,0.26808207078981483,0.0,0.0,5.0,0.26808207078981483,0.0,0.0,City of Manila,PH133900000,NCR
2020-07-04,0,5.0,0.26808207078981483,0.0,0.0,5.0,0.26808207078981483,0.0,0.0,City of Manila,PH133900000,NCR
2020-07-05,1,5.0,0.26808207078981483,0.0,0.0,5.0,0.26808207078981483,0.0,0.0,City of Manila,PH133900000,NCR
2020-07-06,1,5.0,0.26808207078981483,0.0,0.0,5.0,0.26808207078981483,0.0,0.0,City of Manila,PH133900000,NCR
2020-07-07,0,5.0,0.26808207078981483,0.0,0.0,5.0,0.26808207078981483,0.0,0.0,City of Manila,PH133900000,NCR
2020-07-08,0,5.0,0.26808207078981483,0.0,0.0,5.0,0.26808207078981483,0.0,0.0,City of Manila,PH133900000,NCR
2020-07-09,0,5.285714285714286,0.28340104626351853,0.2857142857142857,0.015318975473703703,7.0,0.37531489910574073,2.0,0.10723282831592593,City of Manila,PH133900000,NCR
2020-07-10,0,5.571428571428571,0.29872002173722223,0.2857142857142857,0.015318975473703703,7.0,0.37531489910574073,0.0,0.0,City of Manila,PH133900000,NCR
2020-07-11,0,5.857142857142857,0.3140389972109259,0.2857142857142857,0.015318975473703703,7.0,0.37531489910574073,0.0,0.0,City of Manila,PH133900000,NCR
2020-07-12,0,6.142857142857142,0.32935797268462963,0.2857142857142857,0.015318975473703703,7.0,0.37531489910574073,0.0,0.0,City of Manila,PH133900000,NCR
2020-07-13,0,6.571428571428571,0.35233643589518515,0.42857142857142855,0.022978463210555557,8.0,0.4289313132637037,1.0,0.05361641415796296,City of Manila,PH133900000,NCR
2020-07-14,0,7.0,0.37531489910574073,0.42857142857142855,0.022978463210555557,8.0,0.4289313132637037,0.0,0.0,City of Manila,PH133900000,NCR
2020-07-15,0,7.428571428571428,0.39829336231629625,0.42857142857142855,0.022978463210555557,8.0,0.4289313132637037,0.0,0.0,City of Manila,PH133900000,NCR
2020-07-16,0,7.571428571428571,0.40595285005314813,0.14285714285714285,0.007659487736851852,8.0,0.4289313132637037,0.0,0.0,City of Manila,PH133900000,NCR
2020-07-17,0,7.7142857142857135,0.41361233778999995,0.14285714285714285,0.007659487736851852,8.0,0.4289313132637037,0.0,0.0,City of Manila,PH133900000,NCR
2020-07-18,0,8.0,0.4289313132637037,0.2857142857142857,0.015318975473703703,9.0,0.4825477274216667,1.0,0.05361641415796296,City of Manila,PH133900000,NCR
2020-07-19,0,8.285714285714285,0.44425028873740735,0.2857142857142857,0.015318975473703703,9.0,0.4825477274216667,0.0,0.0,City of Manila,PH133900000,NCR
2020-07-20,0,8.428571428571429,0.45190977647425923,0.14285714285714285,0.007659487736851852,9.0,0.4825477274216667,0.0,0.0,City of Manila,PH133900000,NCR
2020-07-21,0,8.571428571428571,0.4595692642111111,0.14285714285714285,0.007659487736851852,9.0,0.4825477274216667,0.0,0.0,City of Manila,PH133900000,NCR
2020-07-22,0,8.714285714285714,0.46722875194796293,0.14285714285714285,0.007659487736851852,9.0,0.4825477274216667,0.0,0.0,City of Manila,PH133900000,NCR
2020-07-23,0,8.857142857142856,0.47488823968481475,0.14285714285714285,0.007659487736851852,9.0,0.4825477274216667,0.0,0.0,City of Manila,PH133900000,NCR
2020-07-24,0,9.285714285714285,0.49786670289537027,0.42857142857142855,0.022978463210555557,11.0,0.5897805557375926,2.0,0.10723282831592593,City of Manila,PH133900000,NCR
2020-07-25,0,9.571428571428571,0.513185678369074,0.2857142857142857,0.015318975473703703,11.0,0.5897805557375926,0.0,0.0,City of Manila,PH133900000,NCR
2020-07-26,0,10.0,0.5361641415796297,0.42857142857142855,0.022978463210555557,12.0,0.6433969698955555,1.0,0.05361641415796296,City of Manila,PH133900000,NCR
2020-07-27,0,10.428571428571429,0.5591426047901852,0.42857142857142855,0.022978463210555557,12.0,0.6433969698955555,0.0,0.0,City of Manila,PH133900000,NCR
2020-07-28,0,10.857142857142856,0.5821210680007407,0.42857142857142855,0.022978463210555557,12.0,0.6433969698955555,0.0,0.0,City of Manila,PH133900000,NCR
2020-07-29,0,11.285714285714285,0.6050995312112962,0.42857142857142855,0.022978463210555557,12.0,0.6433969698955555,0.0,0.0,City of Manila,PH133900000,NCR
2020-07-30,0,11.714285714285714,0.6280779944218517,0.42857142857142855,0.022978463210555557,12.0,0.6433969698955555,0.0,0.0,City of Manila,PH133900000,NCR
2020-07-31,0,12.571428571428571,0.674034920842963,0.8571428571428571,0.04595692642111111,17.0,0.9114790406853703,5.0,0.26808207078981483,City of Manila,PH133900000,NCR
2020-08-01,0,13.857142857142856,0.7429703104746296,1.2857142857142856,0.06893538963166666,20.0,1.0723282831592593,3.0,0.16084924247388888,City of Manila,PH133900000,NCR
2020-08-02,0,14.857142857142856,0.7965867246325925,1.0,0.05361641415796296,19.0,1.0187118690012964,-1.0,-0.05361641415796296,City of Manila,PH133900000,NCR
2020-08-03,0,15.857142857142856,0.8502031387905554,1.0,0.05361641415796296,19.0,1.0187118690012964,0.0,0.0,City of Manila,PH133900000,NCR
2020-08-04,0,17.285714285714285,0.9267980161590741,1.4285714285714284,0.07659487736851851,22.0,1.1795611114751852,3.0,0.16084924247388888,City of Manila,PH133900000,NCR
2020-08-05,0,19.0,1.0187118690012964,1.7142857142857142,0.09191385284222223,24.0,1.286793939791111,2.0,0.10723282831592593,City of Manila,PH133900000,NCR
2020-08-06,0,21.285714285714285,1.141263672790926,2.2857142857142856,0.12255180378962963,28.0,1.501259596422963,4.0,0.21446565663185185,City of Manila,PH133900000,NCR
2020-08-07,0,22.857142857142854,1.2255180378962962,1.5714285714285714,0.08425436510537038,28.0,1.501259596422963,0.0,0.0,City of Manila,PH133900000,NCR
2020-08-08,0,24.71428571428571,1.3250913784753702,1.857142857142857,0.09957334057907406,33.0,1.7693416672127777,5.0,0.26808207078981483,City of Manila,PH133900000,NCR
2020-08-09,0,27.71428571428571,1.4859406209492592,3.0,0.16084924247388888,40.0,2.1446565663185186,7.0,0.37531489910574073,City of Manila,PH133900000,NCR
2020-08-10,0,31.285714285714285,1.6774278143705557,3.571428571428571,0.19148719342129628,44.0,2.3591222229503703,4.0,0.21446565663185185,City of Manila,PH133900000,NCR
2020-08-11,0,34.42857142857142,1.845936544581296,3.142857142857143,0.16850873021074075,44.0,2.3591222229503703,0.0,0.0,City of Manila,PH133900000,NCR
